,id,host_acceptance_rate,host_is_superhost,neighbourhood,latitude,longitude,room_type,accommodates,bedrooms,beds,amenities,price_in_dollar,minimum_nights,maximum_nights,has_availability,availability_30,number_of_reviews_l30d,review_scores_rating,instant_bookable,price_per_person,minimum_price,discount_per_5_days_booked,discount_per_10_days_booked,discount_per_30_and_more_days_booked,service_cost,available,five_day_dollar_price
271,2668398,0.6,FALSE,De Baarsjes - Oud-West,52.3634,4.85335,Entire home/apt,3,2,3,8,150,3,6,TRUE,2,2,4.9,FALSE,50,450,0.09,0.16,0.18,4.99,0.005479452,737.6712329
272,2697739,0.95,FALSE,De Baarsjes - Oud-West,52.36861,4.8553,Entire home/apt,4,2,4,12,281,3,101,TRUE,0,0,4.93,FALSE,70.25,843,0.14,0.18,0.21,4.99,0.323287671,1422.60274
273,2708863,0.5,FALSE,De Baarsjes - Oud-West,52.36409,4.84923,Entire home/apt,4,2,3,9,295,5,109,TRUE,1,2,4.84,FALSE,73.75,1475,0.13,0.15,0.23,4.99,0.298630137,1412.39726
274,2739228,0.99,TRUE,Centrum-West,52.37911,4.89349,Private room,1,1,1,5,82,3,101,TRUE,0,0,4.68,FALSE,82,246,0.05,0.1,0.15,4.99,0,409.2465753
275,2788545,0.36,FALSE,Oostelijk Havengebied - Indische Buurt,52.36402,4.93394,Entire home/apt,4,2,2,3,185,5,20,TRUE,0,0,4.9,FALSE,46.25,925,0.09,0.17,0.18,4.99,0,925
276,2797128,1,FALSE,Noord-West,52.40613,4.92436,Entire home/apt,4,2,3,4,140,3,20,TRUE,0,0,4.5,TRUE,35,420,0.06,0.18,0.18,4.99,0,906
277,2829553,0.64,FALSE,De Pijp - Rivierenbuurt,52.34926,4.88719,Entire home/apt,2,1,1,5,200,100,100,TRUE,30,0,4.93,FALSE,100,20000,0.07,0.22,0.32,4.99,0.493150685,1000
278,2830788,1,TRUE,Oud-Oost,52.35035,4.91362,Private room,2,1,1,2,107,3,-76,TRUE,4,1,4.9,FALSE,53.5,321,0.06,0.16,0.17,4.99,0.5,541.4917127
279,2853285,1,FALSE,De Baarsjes - Oud-West,52.36491,4.86102,Private room,2,1,2,5,133,1,101,TRUE,3,2,4.58,TRUE,66.5,133,0.06,0.05,0.18,4.99,1,895
280,2861667,1,FALSE,De Baarsjes - Oud-West,52.36714,4.86019,Private room,2,1,2,3,138,1,101,TRUE,9,9,4.59,TRUE,69,138,0.06,0.11,0.18,4.99,1,965
281,2892186,0.8,FALSE,Oostelijk Havengebied - Indische Buurt,52.36307,4.94322,Entire home/apt,2,1,1,7,165,3,28,TRUE,0,2,4.89,FALSE,82.5,495,0.07,0.18,0.2,4.99,0,825
282,2902819,0.71,FALSE,Centrum-Oost,52.37067,4.90373,Entire home/apt,2,1,1,13,260,3,30,TRUE,0,0,4.97,FALSE,130,780,0.13,0.13,0.16,4.99,0.126027397,1300
283,2912309,0.78,FALSE,De Pijp - Rivierenbuurt,52.35326,4.90668,Entire home/apt,4,2,2,8,200,3,30,TRUE,0,0,4.95,FALSE,50,600,0.12,0.22,0.27,4.99,0.054794521,1198.082192
284,2921938,0.38,FALSE,De Baarsjes - Oud-West,52.36492,4.85908,Entire home/apt,3,2,4,5,170,4,101,TRUE,3,0,4.91,FALSE,56.66,680,0.09,0.14,0.14,4.99,0.104109589,992.8767123
285,2955804,0.75,FALSE,Westerpark,52.37486,4.87437,Entire home/apt,2,1,1,4,155,3,28,TRUE,0,0,4.8,TRUE,77.5,465,0.09,0.19,0.21,4.99,0,775
286,2956140,0.52,FALSE,De Pijp - Rivierenbuurt,52.35593,4.90072,Private room,2,1,1,7,125,3,14,TRUE,7,2,4.79,FALSE,62.5,375,0.05,0.14,0.19,4.99,0.761643836,625
287,2965812,0.5,FALSE,IJburg - Zeeburgereiland,52.36091,4.97497,Entire home/apt,4,2,2,4,160,5,5,TRUE,4,1,4.95,FALSE,40,800,0.08,0.2,0.15,4.99,0.484931507,800
288,2977065,0.17,FALSE,Centrum-West,52.37615,4.89001,Entire home/apt,2,1,1,25,700,3,21,TRUE,0,1,4.7,TRUE,350,2100,0.08,0.14,0.27,10.99,0,3500
